Episode,MaxEpisodes,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
217,5000,-1927.17,76,-1983.54,14442,-439.34
218,5000,-1565.79,81,-1959.16,14523,-94.79
219,5000,-1805.24,99,-1819.77,14622,-101.43
220,5000,-2346.03,73,-1855.93,14695,-985.05
221,5000,-38.17,31,-1720.38,14726,-72.24
222,5000,-1306.54,35,-1590.66,14761,-1609.1
223,5000,-1356.39,46,-1603.3,14807,-1341.41
224,5000,-2678.13,68,-1563.39,14875,-787.91
225,5000,-766.12,30,-1384.73,14905,-933.08
226,5000,-161.62,44,-1395.12,14949,-423.12
227,5000,-3658.93,90,-1568.3,15039,-559.83
228,5000,-1731.87,51,-1584.91,15090,-659.02
229,5000,-1403.78,85,-1544.76,15175,-241.22
230,5000,-3406.73,73,-1650.83,15248,-534
231,5000,-3466.67,67,-1993.68,15315,-766.91
232,5000,-3239.84,101,-2187.01,15416,-133.98
233,5000,-3729.34,92,-2424.3,15508,-986.52
234,5000,-3629.19,75,-2519.41,15583,-650.72
235,5000,-2896.96,126,-2732.49,15709,-101.49
236,5000,-308.59,77,-2747.19,15786,-64.75
237,5000,-1840.46,47,-2565.34,15833,-612.34
238,5000,-89.97,57,-2401.15,15890,-70.94
239,5000,-506.81,31,-2311.46,15921,-504.96
240,5000,-751.06,31,-2045.89,15952,-792.5
241,5000,-1701.71,43,-1869.39,15995,-1606.44
242,5000,-1939.32,76,-1739.34,16071,-554.2
243,5000,-302.17,25,-1396.62,16096,-455.47
244,5000,-1647.65,49,-1198.47,16145,-318.69
245,5000,-535.4,96,-962.31,16241,-143.65
246,5000,-3710.6,98,-1302.51,16339,-876.57
247,5000,-2400.84,70,-1358.55,16409,-1265.18
248,5000,-1593.33,43,-1508.89,16452,-1738.92
249,5000,-194.53,39,-1477.66,16491,-576.29
250,5000,-422.02,121,-1444.76,16612,-168.53
251,5000,-1124.87,96,-1387.07,16708,-160.27
252,5000,-67.22,76,-1199.86,16784,-99.99
253,5000,-424.4,74,-1212.09,16858,-144.61
254,5000,-1651.75,46,-1212.5,16904,-963.51
255,5000,-1568.67,44,-1315.82,16948,-1503.31
256,5000,-1961.21,92,-1140.88,17040,-200.34
257,5000,-1076.77,104,-1008.48,17144,-176.72
258,5000,-925.49,53,-941.69,17197,-366.07
259,5000,-578.66,111,-980.11,17308,-234.2
260,5000,-1902.64,121,-1128.17,17429,-435.74
261,5000,-136.91,75,-1029.37,17504,-143.24
