Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260703_230817_td3_mathworks_style_pi_current_1c_500hz_long_detailed\training_console.log
Episode: 156/5000 | Episode reward:   -39.49 | Episode steps:   31 | Average reward:   -21.94 | Step Count: 8188 | Episode Q0:     0.89
Episode: 157/5000 | Episode reward:   -16.64 | Episode steps:   55 | Average reward:   -19.81 | Step Count: 8243 | Episode Q0:     0.89
Episode: 158/5000 | Episode reward:     8.09 | Episode steps:   34 | Average reward:   -16.00 | Step Count: 8277 | Episode Q0:     0.89
Episode: 159/5000 | Episode reward:    18.22 | Episode steps:   48 | Average reward:   -12.41 | Step Count: 8325 | Episode Q0:     0.89
Episode: 160/5000 | Episode reward:   -14.37 | Episode steps:   59 | Average reward:   -15.01 | Step Count: 8384 | Episode Q0:     0.89
Episode: 161/5000 | Episode reward:    20.53 | Episode steps:   48 | Average reward:   -11.84 | Step Count: 8432 | Episode Q0:     0.89
Episode: 162/5000 | Episode reward:   -54.48 | Episode steps:   48 | Average reward:   -15.90 | Step Count: 8480 | Episode Q0:     0.89
Episode: 163/5000 | Episode reward:    -1.72 | Episode steps:   42 | Average reward:   -12.70 | Step Count: 8522 | Episode Q0:     0.89
Episode: 164/5000 | Episode reward:     6.30 | Episode steps:   39 | Average reward:   -11.12 | Step Count: 8561 | Episode Q0:     0.89
Episode: 165/5000 | Episode reward:    21.84 | Episode steps:   50 | Average reward:    -5.17 | Step Count: 8611 | Episode Q0:     0.89
Episode: 166/5000 | Episode reward:    -8.46 | Episode steps:   57 | Average reward:    -2.07 | Step Count: 8668 | Episode Q0:     0.89
Episode: 167/5000 | Episode reward:    25.32 | Episode steps:   63 | Average reward:     2.13 | Step Count: 8731 | Episode Q0:     0.89
Episode: 168/5000 | Episode reward:    -1.88 | Episode steps:   43 | Average reward:     1.13 | Step Count: 8774 | Episode Q0:     1.05
Episode: 169/5000 | Episode reward:    -0.96 | Episode steps:   52 | Average reward:    -0.79 | Step Count: 8826 | Episode Q0:     1.05
Episode: 170/5000 | Episode reward:   -34.74 | Episode steps:   48 | Average reward:    -2.82 | Step Count: 8874 | Episode Q0:     1.05
Episode: 171/5000 | Episode reward:   -15.35 | Episode steps:   53 | Average reward:    -6.41 | Step Count: 8927 | Episode Q0:     1.05
Episode: 172/5000 | Episode reward:   -45.69 | Episode steps:   32 | Average reward:    -5.53 | Step Count: 8959 | Episode Q0:     1.05
Episode: 173/5000 | Episode reward:   -41.28 | Episode steps:   39 | Average reward:    -9.49 | Step Count: 8998 | Episode Q0:     1.05
Episode: 174/5000 | Episode reward:    -2.08 | Episode steps:   54 | Average reward:   -10.33 | Step Count: 9052 | Episode Q0:     1.05
Episode: 175/5000 | Episode reward:   -43.26 | Episode steps:   45 | Average reward:   -16.84 | Step Count: 9097 | Episode Q0:     1.05
Episode: 176/5000 | Episode reward:   -16.72 | Episode steps:   45 | Average reward:   -17.66 | Step Count: 9142 | Episode Q0:     1.05
Episode: 177/5000 | Episode reward:    -5.47 | Episode steps:   47 | Average reward:   -20.74 | Step Count: 9189 | Episode Q0:     1.05
Episode: 178/5000 | Episode reward:   -34.40 | Episode steps:   40 | Average reward:   -24.00 | Step Count: 9229 | Episode Q0:     1.05
Episode: 179/5000 | Episode reward:   -29.79 | Episode steps:   46 | Average reward:   -26.88 | Step Count: 9275 | Episode Q0:     1.05
Episode: 180/5000 | Episode reward:     3.77 | Episode steps:   37 | Average reward:   -23.03 | Step Count: 9312 | Episode Q0:     1.05
Episode: 181/5000 | Episode reward:   -22.51 | Episode steps:   53 | Average reward:   -23.74 | Step Count: 9365 | Episode Q0:     1.05
Episode: 182/5000 | Episode reward:   -30.26 | Episode steps:   36 | Average reward:   -22.20 | Step Count: 9401 | Episode Q0:     1.05
Episode: 183/5000 | Episode reward:    26.60 | Episode steps:   68 | Average reward:   -15.41 | Step Count: 9469 | Episode Q0:     1.05
Episode: 184/5000 | Episode reward:    13.84 | Episode steps:   36 | Average reward:   -13.82 | Step Count: 9505 | Episode Q0:     1.05
Episode: 185/5000 | Episode reward:   -27.35 | Episode steps:   47 | Average reward:   -12.23 | Step Count: 9552 | Episode Q0:     1.05
Episode: 186/5000 | Episode reward:   -14.56 | Episode steps:   30 | Average reward:   -12.01 | Step Count: 9582 | Episode Q0:     1.05
Episode: 187/5000 | Episode reward:     7.08 | Episode steps:   37 | Average reward:   -10.76 | Step Count: 9619 | Episode Q0:     1.05
Episode: 188/5000 | Episode reward:   -10.75 | Episode steps:   43 | Average reward:    -8.39 | Step Count: 9662 | Episode Q0:     1.05
